zone_name,from_risk,to_risk,transition_count
crosswalk_bottom,LOW,LOW,7223
crosswalk_bottom,MEDIUM,MEDIUM,875
crosswalk_bottom,HIGH,HIGH,493
crosswalk_bottom,LOW,MEDIUM,152
crosswalk_bottom,MEDIUM,LOW,152
crosswalk_bottom,HIGH,MEDIUM,93
crosswalk_bottom,MEDIUM,HIGH,93
crosswalk_bottom,CRITICAL,CRITICAL,87
crosswalk_bottom,CRITICAL,HIGH,50
crosswalk_bottom,HIGH,CRITICAL,50
crosswalk_left,LOW,LOW,6238
crosswalk_left,MEDIUM,MEDIUM,1025
crosswalk_left,HIGH,HIGH,986
crosswalk_left,LOW,MEDIUM,180
crosswalk_left,MEDIUM,LOW,180
crosswalk_left,HIGH,MEDIUM,150
crosswalk_left,MEDIUM,HIGH,149
crosswalk_left,CRITICAL,CRITICAL,133
crosswalk_left,CRITICAL,HIGH,113
crosswalk_left,HIGH,CRITICAL,113
crosswalk_left,LOW,HIGH,1
crosswalk_main,LOW,LOW,4841
crosswalk_main,CRITICAL,CRITICAL,3279
crosswalk_main,MEDIUM,MEDIUM,598
crosswalk_main,HIGH,HIGH,280
crosswalk_main,LOW,MEDIUM,64
crosswalk_main,MEDIUM,LOW,64
crosswalk_main,HIGH,CRITICAL,40
crosswalk_main,CRITICAL,HIGH,39
crosswalk_main,MEDIUM,HIGH,32
crosswalk_main,HIGH,MEDIUM,31
crosswalk_top,LOW,LOW,8247
crosswalk_top,MEDIUM,MEDIUM,479
crosswalk_top,MEDIUM,LOW,165
crosswalk_top,LOW,MEDIUM,163
crosswalk_top,HIGH,HIGH,67
crosswalk_top,MEDIUM,HIGH,48
crosswalk_top,HIGH,MEDIUM,47
crosswalk_top,HIGH,CRITICAL,15
crosswalk_top,CRITICAL,HIGH,12
crosswalk_top,CRITICAL,CRITICAL,8
crosswalk_top,CRITICAL,MEDIUM,7
crosswalk_top,LOW,HIGH,4
crosswalk_top,MEDIUM,CRITICAL,4
crosswalk_top,HIGH,LOW,2
sidewalk_bottom,HIGH,HIGH,3701
sidewalk_bottom,MEDIUM,MEDIUM,2412
sidewalk_bottom,LOW,LOW,1779
sidewalk_bottom,HIGH,MEDIUM,268
sidewalk_bottom,MEDIUM,HIGH,267
sidewalk_bottom,MEDIUM,LOW,221
sidewalk_bottom,LOW,MEDIUM,220
sidewalk_bottom,CRITICAL,CRITICAL,192
sidewalk_bottom,CRITICAL,HIGH,104
sidewalk_bottom,HIGH,CRITICAL,104
sidewalk_left,MEDIUM,MEDIUM,3396
sidewalk_left,HIGH,HIGH,2733
sidewalk_left,LOW,LOW,884
sidewalk_left,CRITICAL,CRITICAL,520
sidewalk_left,HIGH,MEDIUM,441
sidewalk_left,MEDIUM,HIGH,441
sidewalk_left,MEDIUM,LOW,240
sidewalk_left,LOW,MEDIUM,239
sidewalk_left,HIGH,CRITICAL,187
sidewalk_left,CRITICAL,HIGH,186
sidewalk_left,CRITICAL,MEDIUM,1
sidewalk_right,CRITICAL,CRITICAL,8130
sidewalk_right,HIGH,HIGH,653
sidewalk_right,MEDIUM,MEDIUM,157
sidewalk_right,CRITICAL,HIGH,127
sidewalk_right,HIGH,CRITICAL,126
sidewalk_right,HIGH,MEDIUM,38
sidewalk_right,MEDIUM,HIGH,37
sidewalk_top,MEDIUM,MEDIUM,4517
sidewalk_top,HIGH,HIGH,2228
sidewalk_top,LOW,LOW,663
sidewalk_top,HIGH,MEDIUM,557
sidewalk_top,MEDIUM,HIGH,556
sidewalk_top,MEDIUM,LOW,273
sidewalk_top,LOW,MEDIUM,271
sidewalk_top,CRITICAL,HIGH,74
sidewalk_top,HIGH,CRITICAL,74
sidewalk_top,CRITICAL,CRITICAL,54
sidewalk_top,LOW,HIGH,1
